verbatimLocality,species,verbatimSex,wgt,datasetname,sex,occurrence_id,eventDate,decimalLongitude,decimalLatitude
2,,M,,Ecological Archives E090-118-D1.,male,1,1977-07-16,31.938887000000367,-109.0819749999964
3,,M,,Ecological Archives E090-118-D1.,male,2,1977-07-16,31.938896000000383,-109.0812079999964
2,DM,F,,Ecological Archives E090-118-D1.,female,3,1977-07-16,31.938887000000367,-109.0819749999964
7,DM,M,,Ecological Archives E090-118-D1.,male,4,1977-07-16,31.938113000000417,-109.0828159999964
3,DM,M,,Ecological Archives E090-118-D1.,male,5,1977-07-16,31.938896000000383,-109.0812079999964
1,PF,M,,Ecological Archives E090-118-D1.,male,6,1977-07-16,31.938851000000383,-109.08282899999641
2,PE,F,,Ecological Archives E090-118-D1.,female,7,1977-07-16,31.938887000000367,-109.0819749999964
1,DM,M,,Ecological Archives E090-118-D1.,male,8,1977-07-16,31.938851000000383,-109.08282899999641
1,DM,,,Ecological Archives E090-118-D1.,,9,1977-07-16,31.938851000000383,-109.08282899999641
1,SH,,,Ecological Archives E090-118-D1.,,10,1977-07-16,31.938851000000383,-109.08282899999641
6,PF,F,,Ecological Archives E090-118-D1.,female,11,1977-07-16,31.939078000000418,-109.07883599999636
5,DS,F,,Ecological Archives E090-118-D1.,female,12,1977-07-16,31.93897000000045,-109.07960199999637
7,DM,M,,Ecological Archives E090-118-D1.,male,13,1977-07-16,31.938113000000417,-109.0828159999964
3,DM,M,,Ecological Archives E090-118-D1.,male,14,1977-07-16,31.938896000000383,-109.0812079999964
8,DM,,,Ecological Archives E090-118-D1.,,15,1977-07-16,31.93788400000041,-109.08167999999641
6,DM,F,,Ecological Archives E090-118-D1.,female,16,1977-07-16,31.939078000000418,-109.07883599999636
4,DM,F,,Ecological Archives E090-118-D1.,female,17,1977-07-16,31.93889400000041,-109.0804089999964
3,DS,F,,Ecological Archives E090-118-D1.,female,18,1977-07-16,31.938896000000383,-109.0812079999964
2,PP,M,,Ecological Archives E090-118-D1.,male,19,1977-07-16,31.938887000000367,-109.0819749999964
4,PF,,,Ecological Archives E090-118-D1.,,20,1977-07-16,31.93889400000041,-109.0804089999964
11,DS,F,,Ecological Archives E090-118-D1.,female,21,1977-07-17,31.938056000000422,-109.07930699999636
14,DM,F,,Ecological Archives E090-118-D1.,female,22,1977-07-17,31.937054000000455,-109.0818269999964
15,,F,,Ecological Archives E090-118-D1.,female,23,1977-07-17,31.937059000000463,-109.08103599999639
13,DM,M,,Ecological Archives E090-118-D1.,male,24,1977-07-17,31.937028000000442,-109.0826129999964
13,SH,M,,Ecological Archives E090-118-D1.,male,25,1977-07-17,31.937028000000442,-109.0826129999964
9,DM,M,,Ecological Archives E090-118-D1.,male,26,1977-07-17,31.93785900000038,-109.08090299999638
15,DM,M,,Ecological Archives E090-118-D1.,male,27,1977-07-17,31.937059000000463,-109.08103599999639
15,DM,M,,Ecological Archives E090-118-D1.,male,28,1977-07-17,31.937059000000463,-109.08103599999639
11,DM,M,,Ecological Archives E090-118-D1.,male,29,1977-07-17,31.938056000000422,-109.07930699999636
11,PP,M,,Ecological Archives E090-118-D1.,male,30,1977-07-17,31.938056000000422,-109.07930699999636
10,DS,F,,Ecological Archives E090-118-D1.,female,31,1977-07-17,31.938017000000432,-109.08009099999637
15,DM,F,,Ecological Archives E090-118-D1.,female,32,1977-07-17,31.937059000000463,-109.08103599999639
10,DM,F,,Ecological Archives E090-118-D1.,female,33,1977-07-17,31.938017000000432,-109.08009099999637
11,DM,F,,Ecological Archives E090-118-D1.,female,34,1977-07-17,31.938056000000422,-109.07930699999636
17,DM,,,Ecological Archives E090-118-D1.,,35,1977-07-17,31.93711700000044,-109.07941499999637
13,DM,F,,Ecological Archives E090-118-D1.,female,36,1977-07-17,31.937028000000442,-109.0826129999964
16,OT,F,,Ecological Archives E090-118-D1.,female,37,1977-07-17,31.937094000000414,-109.08024399999637
11,DM,F,,Ecological Archives E090-118-D1.,female,38,1977-07-17,31.938056000000422,-109.07930699999636
17,,M,,Ecological Archives E090-118-D1.,male,39,1977-07-17,31.93711700000044,-109.07941499999637
11,DM,F,,Ecological Archives E090-118-D1.,female,40,1977-07-17,31.938056000000422,-109.07930699999636
20,DM,M,,Ecological Archives E090-118-D1.,male,41,1977-07-18,31.936334000000446,-109.08019099999639
23,DM,F,,Ecological Archives E090-118-D1.,female,42,1977-07-18,31.93676300000041,-109.07783799999636
18,DS,F,,Ecological Archives E090-118-D1.,female,43,1977-07-18,31.937126000000415,-109.07863299999636
21,DM,M,,Ecological Archives E090-118-D1.,male,44,1977-07-18,31.93644800000045,-109.07939799999636
18,DM,F,,Ecological Archives E090-118-D1.,female,45,1977-07-18,31.937126000000415,-109.07863299999636
22,DM,M,,Ecological Archives E090-118-D1.,male,46,1977-07-18,31.93644100000043,-109.07860199999637
19,DM,M,,Ecological Archives E090-118-D1.,male,47,1977-07-18,31.937438000000434,-109.07791199999635
18,DM,M,,Ecological Archives E090-118-D1.,male,48,1977-07-18,31.937126000000415,-109.07863299999636
20,DM,F,,Ecological Archives E090-118-D1.,female,49,1977-07-18,31.936334000000446,-109.08019099999639
12,PP,F,,Ecological Archives E090-118-D1.,female,50,1977-07-18,31.938203000000424,-109.07851899999636
18,DM,F,,Ecological Archives E090-118-D1.,female,51,1977-07-18,31.937126000000415,-109.07863299999636
21,DM,F,,Ecological Archives E090-118-D1.,female,52,1977-07-18,31.93644800000045,-109.07939799999636
12,DM,F,,Ecological Archives E090-118-D1.,female,53,1977-07-18,31.938203000000424,-109.07851899999636
22,DM,M,,Ecological Archives E090-118-D1.,male,54,1977-07-18,31.93644100000043,-109.07860199999637
18,DM,M,,Ecological Archives E090-118-D1.,male,55,1977-07-18,31.937126000000415,-109.07863299999636
23,DM,M,,Ecological Archives E090-118-D1.,male,56,1977-07-18,31.93676300000041,-109.07783799999636
20,DM,M,,Ecological Archives E090-118-D1.,male,57,1977-07-18,31.936334000000446,-109.08019099999639
22,DM,,,Ecological Archives E090-118-D1.,,58,1977-07-18,31.93644100000043,-109.07860199999637
12,DS,M,,Ecological Archives E090-118-D1.,male,59,1977-07-18,31.938203000000424,-109.07851899999636
19,DM,M,,Ecological Archives E090-118-D1.,male,60,1977-07-18,31.937438000000434,-109.07791199999635
19,PE,M,,Ecological Archives E090-118-D1.,male,61,1977-07-18,31.937438000000434,-109.07791199999635
23,DM,M,,Ecological Archives E090-118-D1.,male,62,1977-07-18,31.93676300000041,-109.07783799999636
19,DM,M,,Ecological Archives E090-118-D1.,male,63,1977-07-18,31.937438000000434,-109.07791199999635
3,DM,M,40.0,Ecological Archives E090-118-D1.,male,64,1977-08-19,31.938896000000383,-109.0812079999964
7,DM,M,48.0,Ecological Archives E090-118-D1.,male,65,1977-08-19,31.938113000000417,-109.0828159999964
4,DM,F,29.0,Ecological Archives E090-118-D1.,female,66,1977-08-19,31.93889400000041,-109.0804089999964
4,DM,F,46.0,Ecological Archives E090-118-D1.,female,67,1977-08-19,31.93889400000041,-109.0804089999964
7,DM,M,36.0,Ecological Archives E090-118-D1.,male,68,1977-08-19,31.938113000000417,-109.0828159999964
8,DO,F,52.0,Ecological Archives E090-118-D1.,female,69,1977-08-19,31.93788400000041,-109.08167999999641
2,PF,M,8.0,Ecological Archives E090-118-D1.,male,70,1977-08-19,31.938887000000367,-109.0819749999964
3,OX,F,22.0,Ecological Archives E090-118-D1.,female,71,1977-08-19,31.938896000000383,-109.0812079999964
7,DM,F,35.0,Ecological Archives E090-118-D1.,female,72,1977-08-19,31.938113000000417,-109.0828159999964
2,,M,,Ecological Archives E090-118-D1.,male,73,1977-08-19,31.938887000000367,-109.0819749999964
3,DS,F,,Ecological Archives E090-118-D1.,female,74,1977-08-19,31.938896000000383,-109.0812079999964
8,PF,M,7.0,Ecological Archives E090-118-D1.,male,75,1977-08-19,31.93788400000041,-109.08167999999641
8,DM,F,22.0,Ecological Archives E090-118-D1.,female,76,1977-08-19,31.93788400000041,-109.08167999999641
9,DS,F,,Ecological Archives E090-118-D1.,female,77,1977-08-19,31.93785900000038,-109.08090299999638
4,SS,,,Ecological Archives E090-118-D1.,,78,1977-08-19,31.93889400000041,-109.0804089999964
1,PF,M,9.0,Ecological Archives E090-118-D1.,male,79,1977-08-19,31.938851000000383,-109.08282899999641
7,DM,F,42.0,Ecological Archives E090-118-D1.,female,80,1977-08-19,31.938113000000417,-109.0828159999964
1,DS,M,,Ecological Archives E090-118-D1.,male,81,1977-08-19,31.938851000000383,-109.08282899999641
4,PF,F,8.0,Ecological Archives E090-118-D1.,female,82,1977-08-19,31.93889400000041,-109.0804089999964
4,DM,F,41.0,Ecological Archives E090-118-D1.,female,83,1977-08-19,31.93889400000041,-109.0804089999964
6,DM,F,37.0,Ecological Archives E090-118-D1.,female,84,1977-08-20,31.939078000000418,-109.07883599999636
19,DM,F,43.0,Ecological Archives E090-118-D1.,female,85,1977-08-20,31.937438000000434,-109.07791199999635
23,DM,F,41.0,Ecological Archives E090-118-D1.,female,86,1977-08-20,31.93676300000041,-109.07783799999636
18,DM,F,40.0,Ecological Archives E090-118-D1.,female,87,1977-08-20,31.937126000000415,-109.07863299999636
5,PF,F,9.0,Ecological Archives E090-118-D1.,female,88,1977-08-20,31.93897000000045,-109.07960199999637
18,DM,F,45.0,Ecological Archives E090-118-D1.,female,89,1977-08-20,31.937126000000415,-109.07863299999636
12,PP,F,15.0,Ecological Archives E090-118-D1.,female,90,1977-08-20,31.938203000000424,-109.07851899999636
18,DM,M,29.0,Ecological Archives E090-118-D1.,male,91,1977-08-20,31.937126000000415,-109.07863299999636
